"ISSN","PAANIMEKE","AINYLEISMAARE","JULKAISUMAA","KIELI","KOKO","KORKEUS_CM","LEVEYS_CM","KUSTANTAJA","TEKSTITYYPPI","start_date","end_date","start_year","end_year","KAUPUNKI_NORM","levikki_1800","levikki_1801","levikki_1802","levikki_1803","levikki_1804","levikki_1805","levikki_1806","levikki_1807","levikki_1808","levikki_1809","levikki_1810","levikki_1811","levikki_1812","levikki_1813","levikki_1814","levikki_1815","levikki_1816","levikki_1817","levikki_1818","levikki_1819","levikki_1820","levikki_1821","levikki_1822","levikki_1823","levikki_1824","levikki_1825","levikki_1826","levikki_1827","levikki_1828","levikki_1829","levikki_1830","levikki_1831","levikki_1832","levikki_1833","levikki_1834","levikki_1835","levikki_1836","levikki_1837","levikki_1838","levikki_1839","levikki_1840","levikki_1841","levikki_1842","levikki_1843","levikki_1844","levikki_1845","levikki_1846","levikki_1847","levikki_1848","levikki_1849","levikki_1850","levikki_1851","levikki_1852","levikki_1853","levikki_1854","levikki_1855","levikki_1856","levikki_1857","levikki_1858","levikki_1859","levikki_1860"
"fk00208","Ecclesiastikt intelligensblad till Åbo tidningar","AIK","FI","swe","",,,"tuntematon","",1500-01-01,1839-12-31,1500,1839,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
"1236-9713","Eos : tidskrift för barn och barnens vänner","AIK","FI","swe","",,,"tuntematon","",1500-01-01,1866-12-31,1500,1866,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1239-6656","etudes entomologiques","AIK","fi","fre","",,,"SocieLteL de LiteLrature Finnoise","",1853-01-01,1862-12-31,1853,1862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
"fk00254","Evangelisk tidning","AIK","FI","swe","",,,"tuntematon","",1500-01-01,1876-12-31,1500,1876,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fk00256","Evangeliskt veckoblad","AIK","FI","swe","",,,"tuntematon","",1500-01-01,1841-12-31,1500,1841,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
"0355-2470","Finlands statskalender","AIK","fi","swe","",,,"Weilin & Göös","",1811-01-01,1981-12-31,1811,1981,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0015-2501","Finska läkaresällskapets handlingar","AIK","fi","swe","",,,"Finska läkaresällskapet","",1841-01-01,2020-01-01,1841,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fk00377","Från nära och fjärran","AIK","FI","swe","",26,19,"tuntematon","ANT",1860-01-01,1861-12-31,1860,1861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"fk00482","Hengellinen sanan-saattaja","AIK","FI","swe","",,,"tuntematon","",1500-01-01,1870-12-31,1500,1870,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0787-0124","Joukahainen","AIK","fi","mul","",,,"Etelä-Pohjalainen osakunta","",1843-01-01,1989-12-31,1843,1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fk00935","Koti ja koulu : sanomia lasten kasvattajille","AIK","FI","fin","",,,"tuntematon","",1500-01-01,1866-12-31,1500,1866,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fk00990","Kristillinen huwittaja","AIK","FI","fin","",,,"Anton Lilius","",1851-01-01,1855-12-31,1851,1855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,
"fk00994","Kristillisiä sanomia : hengellinen ja kirkollinen viikkolehti","AIK","FI","fin","",,,"tuntematon","",1500-01-01,1907-12-31,1500,1907,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fk00995","Kristlig budbärare","AIK","FI","swe","",,,"tuntematon","",1500-01-01,1863-12-31,1500,1863,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1457-4497","Kuopion Hippakunnan Sanomia","AIK","FI","fin","A4",27,22,"P. A. Aschan","FRA",1859-05-21,1860-12-29,1859,1860,"Kuopio",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,621,265
"fk01068","Kyrkligt veckoblad","AIK","FI","swe","",,,"tuntematon","",1500-01-01,1869-12-31,1500,1869,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fk01235","Lasten ystävä","AIK","FI","fin","",,,"tuntematon","",1500-01-01,1863-12-31,1500,1863,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fk01284","Litteraturblad för allmän medborgerlig bildning","AIK","FI","swe","",25,18,"tuntematon","ANT",1847-05-01,1863-11-01,1847,1863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fk01342","Lördagskvällen","AIK","FI","swe","",,,"tuntematon","",1500-01-01,1890-12-31,1500,1890,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fk01442","Mehiläinen","AIK","FI","fin","",18,11,"Toim. Elias Lönnrot","FRA",1836-01-01,1840-06-01,1836,1840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
"fk01476","Mielikki","AIK","FI","fin","",,,"tuntematon","",1500-01-01,1865-12-31,1500,1865,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fk03540","Missionstidning för Finland","AIK","FI","swe","",,,"tuntematon","",1500-01-01,1963-12-31,1500,1963,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fk01494","Mnemosyne","AIK","FI","swe","",24,18,"[s.n.]","AFR",1819-01-02,1823-12-31,1819,1823,"",,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"fk09118","Notisblad för läkare och pharmaceuter","AIK","FI","swe","",,,"tuntematon","",1500-01-01,1869-12-31,1500,1869,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1455-8548","Notiser ur Sällskapets pro fauna et flora Fennica förhandlingar","AIK","fi","mul","",,,"Societas pro fauna et flora Fennica","",1848-01-01,1875-12-31,1848,1875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
"0369-7991","Öfversigt af Finska vetenskaps-societetens förhandlingar","AIK","fi","mul","",,,"Finska vetenskaps-societeten","",1838-01-01,1908-12-31,1838,1908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fk02360","Pääskynen","AIK","FI","fin","",,,"tuntematon","",1500-01-01,1880-12-31,1500,1880,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fk09512","Rauhan sanan-saattaja","AIK","FI","fin","",,,"tuntematon","",1500-01-01,1856-12-31,1500,1856,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
"fk01088","Skol-tidning","AIK","FI","swe","",,,"tuntematon","",1500-01-01,1848-12-31,1500,1848,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
"fk20050132","Spanska flugan","AIK","FI","swe","",21,12,"G. O. Wasenius","ANT",1839-01-01,1841-12-31,1839,1841,"Helsinki",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,
"fk01163","Sunnuntai- ja pyhä-lehti","AIK","FI","fin","",,,"[s.n.]","FRA",1855-04-01,1856-07-31,1855,1856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,
"0355-1768","Suomalaisen Kirjallisuuden Seuran toimituksia","AIK","fi","fin","",,,"Suomalaisen kirjallisuuden seura","",1834-01-01,2020-01-01,1834,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fk01505","Suomen huoneenhallitusseuran sanomia","AIK","FI","fin","",,,"tuntematon","",1500-01-01,1853-12-31,1500,1853,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
"fk03945","Suomen lähetyssanomia","AIK","FI","fin","",,,"tuntematon","",1500-01-01,1952-12-31,1500,1952,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0355-0257","Suomi","AIK","FI","fin","",,,"Suomalaisen Kirjallisuuden Seura","ANT",1841-01-01,2020-01-01,1841,2020,"Helsinki",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fk20110225","Tampereen osoite-, kauppa- ja ammattikalenteri","AIK","FI","fin","",,,"tuntematon","",1810-01-01,1923-12-31,1810,1923,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fk01705","Teknisk tidskrift","AIK","FI","fin","",,,"tuntematon","",1500-01-01,1854-12-31,1500,1854,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
"fk01706","Teknologen","AIK","FI","swe","",,,"tuntematon","",1500-01-01,1848-12-31,1500,1848,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
"fk01742","Tidningar i andeliga ämnen","AIK","FI","swe","",,,"Wasenius","FRA",1836-01-08,1838-12-28,1836,1838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
"fk01747","Tidskrift för Finlands landtbruk och skogshushållning","AIK","FI","swe","",,,"tuntematon","",1500-01-01,1866-12-31,1500,1866,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fk01748","Tidskrift för finska kyrkan","AIK","FI","swe","",,,"F. L. Schauman","ANT",1857-04-01,1859-12-31,1857,1859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
"fk01761","Tidskrift i sjöväsendet","AIK","FI","swe","",,,"tuntematon","",1500-01-01,1871-12-31,1500,1871,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0783-1560","Tidskrift utgiven av Pedagogiska föreningen i Finland","AIK","FI","swe","",,,"tuntematon","",1500-01-01,1925-12-31,1500,1925,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fk01817","Trollsländan","AIK","FI","swe","",,,"tuntematon","",1500-01-01,1873-12-31,1500,1873,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fk02083","Tuntematon 1","AIK","FI","fin","",,,"tuntematon","",1500-01-01,2020-01-01,1500,2020,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fk10476","Tuntematon 2","AIK","FI","fin","",,,"tuntematon","",1500-01-01,2020-01-01,1500,2020,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fk10496","Tuntematon 3","AIK","FI","fin","",,,"tuntematon","",1500-01-01,2020-01-01,1500,2020,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fk01858","Turun kuva-lehti","AIK","FI","fin","",,,"tuntematon","",1500-01-01,1891-12-31,1500,1891,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fk01896","Työmiehen toveri","AIK","FI","fin","",,,"tuntematon","",1500-01-01,1884-12-31,1500,1884,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fk02731","Varpunen","AIK","FI","fin","",,,"tuntematon","",1500-01-01,1861-12-31,1500,1861,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fk02753","Vecko-biblioteket","AIK","FI","swe","",,,"tuntematon","",1500-01-01,1867-12-31,1500,1867,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fk20050749","Wanadis","AIK","FI","swe","",25,21,"[s.n.]","ANT",1840-01-03,1840-07-03,1840,1840,"Helsinki",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
"1457-4799","Åbo Allmänna Tidning","SAN","FI","swe","A5",20,16,"Johan Christoffer Frenckell","FRA",1810-01-02,1819-12-30,1810,1819,"Turku",,,,,,,,,,,374,374,374,430,480,486,507,0,0,495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1457-4829","Åbo Morgonblad","SAN","FI","swe","A4",21,17,"A. I. Arwidsson","ANT",1821-01-05,1821-10-03,1821,1821,"Turku",,,,,,,,,,,,,,,,,,,,,,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1457-4764","Åbo Nya Tidningar","SAN","FI","swe","A5",16,10,"Johan Christoffer Frenckell","FRA",1789-01-02,1789-12-24,1789,1789,"Turku",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1457-4780","Åbo Tidning","SAN","FI","swe","A5",20,16,"Johan Christoffer Frenckell","FRA",1800-01-08,1809-12-30,1800,1809,"Turku",200,200,200,200,200,200,200,200,200,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1457-4772","Åbo Tidningar","SAN","FI","swe","A5",20,16,"Johan Christoffer Frenckell","FRA",1791-01-03,1799-12-30,1791,1799,"Turku",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1457-4802","Åbo Tidningar","SAN","FI","swe","A3",,,"J. F. Granlund","",1820-01-05,1861-01-15,1820,1861,"Turku",,,,,,,,,,,,,,,,,,,,,281,0,0,0,0,297,0,0,0,0,276,0,0,0,0,238,0,0,0,0,408,0,0,0,0,364,0,0,0,0,601,0,0,0,0,499,0,0,0,0,328
"0785-398X","Åbo Underrättelser","SAN","FI","swe","A3",43,28,"Förlags Ab Sydvästkusten","ANT",1824-01-03,2020-01-01,1824,2020,"Turku",,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,519,0,0,0,0,0,0,0,0,0,495,0,0,0,0,0,0,0,0,0,883,0,0,0,0,0,0,0
"1457-425X","Annons-Blad","SAN","FI","swe","A5",25,19,"Fredrik Ahlqvist","AFR",1858-02-06,1859-03-05,1858,1859,"Kuopio",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
"1457-4276","Björneborgs Tidning","SAN","FI","swe","A4",33,24,"Mauritz Thiesen","FRA",1860-07-06,1865-06-23,1860,1865,"Pori",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"0358-6294","Borgåbladet","SAN","FI","swe","A3",40,28,"Östra Nylands Tidningar Ab","ANT",1860-12-15,2015-12-31,1860,2015,"Porvoo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"1457-4306","Borgå Tidning","SAN","FI","swe","A4",30,22,"Petter Widerholm","ANT",1837-12-02,1858-06-30,1837,1858,"Porvoo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,359,0,0,0,0,515,0,0,0,0,320,0,0,0,0,281,0,0,0,196,0,,
"1457-4314","Finlands Allmänna Tidning","SAN","FI","swe","A4",21,17,"tuntematon","FRA",1820-01-03,1931-12-31,1820,1931,"Helsinki",,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1800,0,0,0,0,0
"1457-4403","Hämäläinen","SAN","FI","fin","A3-A2",,,"Oy Hämäläinen","FRA",1858-09-03,1901-03-09,1858,1901,"Hämeenlinna",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,719,657,486
"1457-4330","Helsingfors Annonsblad","SAN","FI","swe","A5",26,21,"Gottlieb John","FRA",1843-01-02,1843-12-30,1843,1843,"Helsinki",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159,,,,,,,,,,,,,,,,,
"1457-4349","Helsingfors Annonsblad","SAN","FI","swe","A4",,,"Henrik Christian Friis","",1853-12-16,1855-04-24,1853,1855,"Helsinki",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,
"1457-4365","Helsingfors Morgonblad","SAN","FI","swe","A4",25,19,"J. C. Frenckell","AFR",1832-01-01,1844-12-30,1832,1844,"Helsinki",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337,329,371,377,364,346,390,415,436,442,541,503,506,,,,,,,,,,,,,,,,
